STATION CODE,YEAR,STATE,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATE- N+ NITRITE-N (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)
1079,2007,BIHAR,17,9.1,8.3,353,2.4,,10500,24000
1079,2008,BIHAR,23.8,7.4,8,377,2.6,,14545,34545
1079,2009,BIHAR,23.4,8,8.1,389,2.9,,5600,18167
1079,2010,BIHAR,25.7,8.3,8.2,391,2.9,0.75,4278,15333
1079,2011,BIHAR,24.4,8.4,8.2,350,2.9,,5667,18778
1079,2012,BIHAR,,,,,,,,
1079,2013,BIHAR,25.2,7.9,7.8,357,2.8,0,5222,14143
1079,2014,BIHAR,24.9,7.9,8,402,2.7,0,3782,11564
