STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATE- N+ NITRITE-N (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)
1484,"ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG, UTTAR PRADESH",UTTARAKHAND,17.5,8.5,8.1,,0.7,0,,
1485,"MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,16.3,8.8,8.1,,0.7,0,,
1486,"ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,16.7,8.1,8,,1,0,,
1487,"ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG, UTTAR PRADESH",UTTARAKHAND,17.3,8.4,8.1,,1,0,,
1488,"BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG, U.P",UTTARAKHAND,17,8.7,8.1,,0.9,0,,
1489,"ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG, UTTAR PRADESH",UTTARAKHAND,17,8.2,8,,1.1,0,,
1060,"GANGA AT RISHIKESH U/S, U.P",UTTARAKHAND,17.2,8.7,7.7,,1.1,0,,22
2725,GANGA RIVER AFTER CONFLUENCE OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARAKHAND,21,6.9,7.8,,5.2,0,,908
1061,"GANGA AT HARIDWAR D/S, U.P",UTTARAKHAND,24.4,5.4,7.5,,5.3,0,,1600
2727,UPPER GANGA RIVER D/S ROORKEE,UTTARAKHAND,18.7,7.7,7.7,,2.1,0,,177
1062,"GANGA AT GARHMUKTESHWAR, U.P",UTTAR PRADESH,23,9,7.4,242,2.5,0.4,664,1268
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,23,8,7.4,310,2.7,0.1,4000,630
2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,22,8.2,7.5,293,2.6,0.1,370,610
1145,"GANGA AT NARORA (BULANDSAHAR), U.P.",UTTAR PRADESH,23,7.8,7.4,320,3.1,0.1,410,630
2490,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,23,7.3,7.5,277,1.4,0,400,610
1063,"GANGA AT KANNAUJ U/S (RAJGHAT), U.P",UTTAR PRADESH,26.9,7.9,7.9,288,2.9,0.2,2200,4467
1066,"GANGA AT KANNAUJ D/S, U.P",UTTAR PRADESH,26.9,7.3,7.9,276,3.2,0.3,2978,5078
1146,"GANGA AT BITHOOR (KANPUR), U.P.",UTTAR PRADESH,27,7.9,8.2,290,3,0.2,2333,4256
1067,"GANGA AT KANPUR U/S (RANIGHAT), U.P",UTTAR PRADESH,27,7.5,8.2,307,3.4,0.2,2600,4856
1068,"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",UTTAR PRADESH,27,6.3,7.7,430,5.5,0.3,15889,54333
1147,"GANGA AT DALMAU (RAI BAREILLY), U.P.",UTTAR PRADESH,22.1,8,7.8,213,3.7,0.8,5517,8250
