STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATE- N+ NITRITE-N (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)
1491,BHAGIRATHI AT GANGOTRI,UTTARAKHAND,8,8.6,8.4,94,,,,
1484,ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,UTTARAKHAND,16,9.7,8,143,0.7,,5000,3867
1485,MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG,UTTARAKHAND,17,8.9,8.1,87,4.6,,1100,100000
1486,ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG,UTTARAKHAND,16,8.9,8,129,0.9,,,
1487,ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG,UTTARAKHAND,17,9.4,8.1,136,1.1,,200000,200000
1488,BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG,UTTARAKHAND,18,7,8.1,99,1.3,,17000,7947
1489,ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,UTTARAKHAND,17,9,7.9,131,1.1,,,
1060,GANGA AT RISHIKESH U/S,UTTARAKHAND,17,8.4,7.7,119,1.3,,,82
2725,GANGA AFTER CONFL. OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARAKHAND,22,6,7.8,388,6.2,,,1375
1061,GANGA AT HARIDWAR D/S,UTTARAKHAND,21,7.2,7.6,189,5.3,,,1445
2727,UPPER GANGA RIVER D/S ROORKEE,UTTARAKHAND,21,7.9,7.8,158,2.6,,,258
1062,GANGA AT GARHMUKTESHWAR,UTTAR PRADESH,20,8.6,7.4,220,3.4,0.4,920,2125
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,19,9.2,7.3,222,3.1,0.26,352,662
2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,20,9.2,7.4,230,3.2,0.31,428,822
1145,GANGA AT NARORA (BULANDSAHAR),UTTAR PRADESH,20,9.3,7.3,216,2.6,0.29,595,1103
2490,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,20,9,7.4,251,2.7,0.33,732,1317
1063,GANGA AT KANNAUJ U/S (RAJGHAT),UTTAR PRADESH,25,8.6,8.1,108,4,1.09,4673,24164
1066,GANGA AT KANNAUJ D/S,UTTAR PRADESH,25,8.3,8.1,108,4.8,0.94,6045,29191
1146,GANGA AT BITHOOR (KANPUR),UTTAR PRADESH,25,8.7,8.2,105,4.1,0.76,4845,17246
1067,GANGA AT KANPUR U/S (RANIGHAT),UTTAR PRADESH,25,8.7,8.4,106,4.3,0.82,6245,26691
1068,GANGA AT KANPUR D/S (JAJMAU PUMPING STATION),UTTAR PRADESH,25,6.6,8.3,127,8.3,1.51,23927,100000
1147,GANGA AT DALMAU (RAI BAREILLY),UTTAR PRADESH,20,7.7,7.9,240,3.5,0.84,4642,7883
2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,20,7.8,7.9,237,3.4,0.81,4400,7658
1046,GANGA AT ALLAHABAD (RASOOLABAD),UTTAR PRADESH,24,7.4,8.2,459,5.6,1.16,3058,7583
2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,24,7.8,8.2,441,4.8,1.09,2600,4958
1049,GANGA AT ALLAHABAD D/S (SANGAM),UTTAR PRADESH,25,7.1,8.2,511,5.1,1.26,3450,9500
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,26,8.5,7.9,456,2.8,2.94,813,2575
2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,27,7.8,7.8,460,3.3,4.09,2133,4058
1070,GANGA AT VARANASI U/S (ASSIGHAT),UTTAR PRADESH,25,7.9,8.2,251,3.2,,6783,16467
